,B,C,PB228,PB317,PB411,PB428,PB512,PB602,PB613,CB228,CB317,CB411,CB428,CB512,CB602,CB613,HB228,HB317,HB411,HB428,HB512,HB602,HB613,PC228,PC317,PC411,PC428,PC512,PC602,PC613,CC228,CC317,CC411,CC428,CC512,CC602,CC613,HC228,HC317,HC411,HC428,HC512,HC602,HC613,PBC228,PBC317,PBC411,PBC428,PBC512,PBC602,PBC613,CBC228,CBC317,CBC411,CBC428,CBC512,CBC602,CBC613,HBC228,HBC317,HBC411,HBC428,HBC512,HBC602,HBC613,PCK317,PCK411,PCK428,PCK512,PCK602,PCK613,PCK228,CCK317,CCK411,CCK428,CCK512,CCK602,CCK613,CCK228,HCK317,HCK411,HCK428,HCK512,HCK602,HCK613,HCK228,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu1087,0,0,2,8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,57,57,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,s__Chaetomium_sp
Zotu29,0,0,444,1172,753,1599,861,279,189,30,171,96,32,124,49,46,741,118,128,116,386,362,1004,444,1753,1704,1249,252,180,246,30,67,14,37,12,20,69,741,122,211,163,258,209,647,444,320,50,383,315,572,1359,30,63,49,47,31,38,292,741,301,258,3658,421,826,192,137,121,163,147,531,541,444,158,59,662,101,42,166,30,708,572,496,407,1306,470,741,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu21,0,2,502,848,269,17,222,315,0,229,226,558,1927,403,268,203,0,6,0,0,0,6,169,502,302,400,377,656,1309,0,229,92,64,11,65,245,96,0,0,1,0,0,5,397,502,436,431,218,34,123,0,229,149,883,438,381,246,174,0,9,2,0,0,1,390,132,433,63,195,45,0,502,757,702,83,193,1222,65,229,0,45,2,3,2,110,0,k__Fungi,,,,,,
Zotu22,6,0,948,872,350,674,774,951,0,101,159,159,83,176,108,17,45,166,40,35,13,83,1009,948,354,870,223,3468,207,0,101,31,73,37,80,70,30,45,54,435,54,112,501,132,948,554,791,800,488,1453,0,101,54,58,133,67,37,10,45,43,14,7,0,2,342,395,1742,551,2232,368,0,948,101,510,124,87,33,0,101,19,467,21,118,0,130,45,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,
Zotu56,0,0,64,7,0,25,103,168,0,0,0,0,0,0,0,0,2,0,0,0,1,0,74,64,3,26,24,569,300,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2903,64,221,21,26,17,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52,29,31,19,537,1422,5,64,0,0,0,0,0,0,0,0,3,3,0,0,105,2,k__Fungi,,,,,,
Zotu553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu156,0,0,127,198,18,6,48,170,0,0,8,1,0,0,0,0,0,0,0,0,0,0,213,127,174,23,27,84,31,0,0,2,2,0,0,0,2,0,0,0,0,0,0,182,127,42,32,28,78,140,0,0,2,0,0,0,3,0,0,0,0,0,0,0,52,35,2,67,80,56,0,127,3,3,0,0,1,0,0,0,0,0,0,0,94,0,k__Fungi,,,,,,
Zotu119,0,0,226,341,44,196,131,104,228,19,78,11,36,98,39,45,134,101,32,45,187,104,201,226,121,68,354,352,21,254,19,101,20,64,15,18,88,134,32,87,46,71,58,315,226,415,62,1657,761,90,62,19,63,14,27,35,45,133,134,36,22,108,109,64,282,141,105,85,189,250,256,226,82,14,148,78,48,106,19,105,24,46,144,162,209,134,k__Fungi,,,,,,
Zotu1099,0,0,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,9,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,k__Fungi,,,,,,
Zotu1652,0,0,9,5,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,k__Fungi,,,,,,
